table,column,data_type,total_rows,non_null_count,null_count,null_percentage,distinct_count,cardinality_ratio,min_length,max_length,avg_length,min,max,mean,median,stddev,q25,q75,outlier_count,outlier_percentage,true_count,false_count,true_percentage,min_date,max_date,unique_dates
all_star_selections,player_name,VARCHAR,2004,2004,0,0.0,526,26.25,7.0,23.0,12.0,,,,,,,,,,,,,,,
all_star_selections,br_player_id,VARCHAR,2004,2004,0,0.0,526,26.25,7.0,9.0,9.0,,,,,,,,,,,,,,,
all_star_selections,team,VARCHAR,2004,2004,0,0.0,10,0.5,4.0,12.0,5.0,,,,,,,,,,,,,,,
all_star_selections,season_end_year,INTEGER,2004,2004,0,0.0,73,3.64,,,,1951,2024,1986.9820359281437,1985.0,20.723789794618416,1970.0,2005.0,0.0,0.0,,,,,,
all_star_selections,league,VARCHAR,2004,2004,0,0.0,2,0.1,3.0,3.0,3.0,,,,,,,,,,,,,,,
all_star_selections,replaced,BOOLEAN,2004,2004,0,0.0,2,0.1,,,,,,,,,,,,,177.0,1827.0,8.83,,,
award_voting_shares,season_end_year,INTEGER,3397,3397,0,0.0,77,2.27,,,,1948,2024,1999.7859876361495,2004.0,16.843538053195246,1989.0,2013.0,6.0,0.18,,,,,,
award_voting_shares,award,VARCHAR,3397,3397,0,0.0,9,0.26,7.0,14.0,7.0,,,,,,,,,,,,,,,
award_voting_shares,player_name,VARCHAR,3397,3397,0,0.0,1025,30.17,4.0,24.0,13.0,,,,,,,,,,,,,,,
award_voting_shares,br_player_id,VARCHAR,3397,3397,0,0.0,1025,30.17,7.0,9.0,9.0,,,,,,,,,,,,,,,
award_voting_shares,age,DOUBLE,3397,3397,0,0.0,22,0.65,,,,19.0,40.0,26.125110391521932,26.0,3.8361551074126505,23.0,29.0,4.0,0.12,,,,,,
award_voting_shares,first_place_votes,DOUBLE,3397,3359,38,1.12,153,4.5,,,,0.0,159.0,8.187258112533492,1.0,20.338806948547788,0.0,4.0,555.0,16.52,,,,,,
award_voting_shares,pts_won,DOUBLE,3397,3375,22,0.65,481,14.16,,,,0.1,1310.0,72.82782222222222,7.0,168.60712025604172,2.0,45.0,524.0,15.53,,,,,,
award_voting_shares,pts_max,DOUBLE,3397,3375,22,0.65,105,3.09,,,,17.0,1310.0,560.4450370370371,600.0,343.90720700293963,176.0,690.0,0.0,0.0,,,,,,
award_voting_shares,share,DOUBLE,3397,3375,22,0.65,619,18.22,,,,0.001,1.0,0.1283274074074064,0.02,0.22739168243823452,0.006,0.128,490.0,14.52,,,,,,
award_voting_shares,winner,BOOLEAN,3397,3397,0,0.0,2,0.06,,,,,,,,,,,,,294.0,3103.0,8.65,,,
br_player_season_advanced,season_id,VARCHAR,33161,33161,0,0.0,80,0.24,7.0,7.0,7.0,,,,,,,,,,,,,,,
br_player_season_advanced,season_end_year,INTEGER,33161,33161,0,0.0,80,0.24,,,,1947,2026,1996.1593739633906,1999.0,20.835375402728285,1980.0,2014.0,0.0,0.0,,,,,,
br_player_season_advanced,player_name,VARCHAR,33161,33161,0,0.0,5354,16.15,4.0,24.0,13.0,,,,,,,,,,,,,,,
br_player_season_advanced,team_abbreviation,VARCHAR,33161,33161,0,0.0,109,0.33,3.0,3.0,3.0,,,,,,,,,,,,,,,
br_player_season_advanced,position,VARCHAR,33161,31942,1219,3.68,5,0.02,1.0,2.0,2.0,,,,,,,,,,,,,,,
br_player_season_advanced,age,DOUBLE,33161,33118,43,0.13,28,0.08,,,,18.0,46.0,26.469412404130683,26.0,3.861323630039725,24.0,29.0,396.0,1.2,,,,,,
br_player_season_advanced,games_played,DOUBLE,33161,33138,23,0.07,89,0.27,,,,1.0,90.0,48.09403102178768,53.0,26.76902633118406,23.0,73.0,0.0,0.0,,,,,,
br_player_season_advanced,minutes_played,DOUBLE,33161,32055,1106,3.34,3363,10.14,,,,0.0,3882.0,1143.6567462174387,958.0,924.6609513244209,298.0,1867.0,0.0,0.0,,,,,,
br_player_season_advanced,per,DOUBLE,33161,32038,1123,3.39,624,1.88,,,,-90.6,133.8,12.516040327111503,12.7,6.283869347779089,9.7,15.7,1526.0,4.76,,,,,,
br_player_season_advanced,ts_pct,DOUBLE,33161,33018,143,0.43,696,2.1,,,,0.0,1.5,0.4987279059906713,0.511,0.10411530228004508,0.46,0.553,1940.0,5.88,,,,,,
br_player_season_advanced,fg3a_rate,DOUBLE,33161,26656,6505,19.62,883,2.66,,,,0.0,1.0,0.20683407112845098,0.127,0.2203594331167121,0.008,0.369,121.0,0.45,,,,,,
br_player_season_advanced,fta_rate,DOUBLE,33161,32997,164,0.49,963,2.9,,,,0.0,6.0,0.3123090280934641,0.284,0.21797266899692683,0.195,0.388,1139.0,3.45,,,,,,
br_player_season_advanced,oreb_pct,DOUBLE,33161,27861,5300,15.98,337,1.02,,,,0.0,100.0,5.988937941925946,5.0,4.897842789111575,2.4,8.7,352.0,1.26,,,,,,
br_player_season_advanced,dreb_pct,DOUBLE,33161,27861,5300,15.98,443,1.34,,,,0.0,100.0,13.96376296615347,13.0,6.864940045902387,9.1,18.2,308.0,1.11,,,,,,
br_player_season_advanced,reb_pct,DOUBLE,33161,29452,3709,11.18,351,1.06,,,,0.0,100.0,9.97651432839881,9.1,5.0860325972294715,6.1,13.4,205.0,0.7,,,,,,
br_player_season_advanced,ast_pct,DOUBLE,33161,30436,2725,8.22,529,1.6,,,,0.0,100.0,12.97781574451315,10.5,9.06281759514999,6.7,17.4,1033.0,3.39,,,,,,
br_player_season_advanced,stl_pct,DOUBLE,33161,27552,5609,16.91,128,0.39,,,,0.0,48.2,1.631576655052263,1.5,1.1007058741077103,1.1,2.0,1046.0,3.8,,,,,,
br_player_season_advanced,blk_pct,DOUBLE,33161,27554,5607,16.91,143,0.43,,,,0.0,77.8,1.492872178268114,1.0,1.806454351361081,0.4,2.0,1713.0,6.22,,,,,,
br_player_season_advanced,tov_pct,DOUBLE,33161,27412,5749,17.34,430,1.3,,,,0.0,100.0,14.59132496716756,13.7,7.032573246291538,10.9,17.2,1848.0,6.74,,,,,,
br_player_season_advanced,usg_pct,DOUBLE,33161,27514,5647,17.03,434,1.31,,,,0.0,100.0,18.813149669259303,18.5,5.552920569477916,15.2,22.1,536.0,1.95,,,,,,
br_player_season_advanced,ows,DOUBLE,33161,33127,34,0.1,197,0.59,,,,-5.1,18.3,1.180801159175302,0.4,2.0481159663380906,-0.1,1.8,2297.0,6.93,,,,,,
br_player_season_advanced,dws,DOUBLE,33161,33127,34,0.1,108,0.33,,,,-1.0,16.0,1.1529869894647344,0.8,1.222833660793331,0.2,1.7,1135.0,3.43,,,,,,
br_player_season_advanced,ws,DOUBLE,33161,33127,34,0.1,230,0.69,,,,-2.8,25.4,2.3349503426208043,1.3,2.944394892670783,0.2,3.6,1440.0,4.35,,,,,,
br_player_season_advanced,ws_48,DOUBLE,33161,32038,1123,3.39,919,2.77,,,,-2.519,2.712,0.06630573069479975,0.076,0.10436881283329924,0.031,0.116,1762.0,5.5,,,,,,
br_player_season_advanced,obpm,DOUBLE,33161,27485,5676,17.12,418,1.26,,,,-68.9,199.4,-1.6304675277424123,-1.4,3.9484727242173507,-3.3,0.3,1206.0,4.39,,,,,,
br_player_season_advanced,dbpm,DOUBLE,33161,27485,5676,17.12,256,0.77,,,,-31.1,60.7,-0.22282699654356916,-0.2,1.8335238531099516,-1.0,0.6,1224.0,4.45,,,,,,
br_player_season_advanced,bpm,DOUBLE,33161,27485,5676,17.12,504,1.52,,,,-92.1,242.2,-1.8534582499545296,-1.5,4.920665553598468,-3.6,0.4,1499.0,5.45,,,,,,
br_player_season_advanced,vorp,DOUBLE,33161,27490,5671,17.1,128,0.39,,,,-2.6,12.5,0.5332520916696847,0.1,1.2450186570201107,-0.1,0.8,2538.0,9.23,,,,,,
br_player_season_advanced_silver,season_id,VARCHAR,8912,8912,0,0.0,23,0.26,7.0,7.0,7.0,,,,,,,,,,,,,,,
br_player_season_advanced_silver,season_end_year,INTEGER,8912,8912,0,0.0,23,0.26,,,,1973,1996,1985.9688061041293,1987.0,6.811613918635228,1981.0,1992.0,0.0,0.0,,,,,,
br_player_season_advanced_silver,player_name,VARCHAR,8912,8912,0,0.0,1688,18.94,7.0,23.0,12.0,,,,,,,,,,,,,,,
